ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|Ambler|PA|19002|40.1809|-75.2156|32412|Maintenance engineer|2001-08-16|903253916954
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Selden|NY|11784|40.8699|-73.0448|24655|Commercial art gallery manager|1977-09-29|989496879843
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Nacogdoches|TX|75965|31.7195|-94.6168|55627|Optician, dispensing|1986-08-14|917181406434
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Donora|PA|15033|40.1768|-79.8619|4910|Engineer, broadcasting (operations)|1992-01-06|767589450881
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Fayetteville|NC|28304|35.0257|-78.9705|238602|Health and safety inspector|1983-01-23|857987636625
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Rockford|IL|61108|42.2514|-89.0235|189162|Hydrogeologist|1971-09-26|428437913341
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Hollywood|FL|33021|26.0218|-80.1891|420284|Programme researcher, broadcasting/film/video|1968-04-04|370770979513
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Winston Salem|NC|27104|36.092|-80.3224|250944|Insurance risk surveyor|1953-11-24|636119440405
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Medfield|MA|2052|42.1845|-71.3048|12024|Solicitor|1972-11-15|531608037091
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Urbandale|IA|50322|41.6295|-93.723|41731|Recycling officer|1983-10-26|869508288813
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Jacksonville|FL|32218|30.4507|-81.6626|847415|Therapist, speech and language|1962-08-02|915259790398
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Seattle|WA|98119|47.6379|-122.3643|837792|Astronomer|1999-08-09|163860419795
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Boston|MA|2163|42.3253|-71.1122|386505|Accountant, chartered|1976-02-24|495675808653
482-38-0535|4471349361831|Maria|Kerr|F|02499 Gonzales Mountain|Upland|CA|91784|34.141|-117.6581|77103|Industrial buyer|1972-03-15|445386964769
513-70-8091|30190659401395|Kevin|Smith|M|027 Moon Falls Suite 717|Fulton|MO|65251|38.8518|-91.9606|22437|Magazine features editor|1988-04-06|366826061886
687-14-2635|377468071545168|Sharon|Bryan|F|876 Jacob Lake|Albuquerque|NM|87112|35.101|-106.5183|641349|Writer|1958-12-03|548709745211
453-98-0846|4824771093241|Juan|Tran|M|17127 Hicks Groves|Coarsegold|CA|93614|37.2214|-119.7455|11661|Pathologist|1970-04-12|531866089440
250-59-9032|4398214658404495|Kevin|Keller|M|8755 Gibson Islands|Brandenburg|KY|40108|37.9662|-86.1084|11583|Energy engineer|1962-01-25|768716573635
586-50-3827|6011576627028957|Sheila|Sawyer|F|87026 Charles Tunnel Suite 596|Black River Falls|WI|54615|44.2954|-90.8313|10742|Catering manager|1963-02-15|364435556959
880-69-6227|378091343161173|Christopher|Evans|M|50455 Thomas Pines|Pomona|CA|91766|34.0418|-117.7569|154204|Paramedic|1964-12-11|749754952027
175-23-1294|3593792374740743|Megan|Moore|F|9464 Bruce Flat Suite 713|Martinsville|IN|46151|39.4776|-86.4668|30921|Museum/gallery curator|1983-02-15|393298413208
303-90-4838|676364090974|Sandra|Leach|F|533 Byrd Stravenue|Turlock|CA|95382|37.5239|-120.8517|77377|Copywriter, advertising|1948-07-23|105777520189
662-06-5062|30095214562328|Richard|Walter|M|842 Sloan Orchard Suite 517|Ball|LA|71405|31.4151|-92.3945|5592|Call centre manager|1965-05-07|829533234908
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Denver|CO|80228|39.6888|-105.156|990452|Commercial horticulturist|1999-09-04|47844977968
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Wantagh|NY|11793|40.685|-73.5103|32298|Occupational therapist|1993-04-07|207343331995
869-59-1502|4900532931839331|Gary|Hernandez|M|2284 Daniel Way|Brooklyn|NY|11214|40.6016|-73.9968|2504700|Agricultural engineer|1994-02-27|13450992449
809-31-9648|342402681177585|Kevin|Hayes|M|084 Schneider Burgs|Austin|TX|78745|30.2063|-97.7956|940359|Biochemist, clinical|1993-03-10|528274907582
437-88-1769|38115921249985|Michelle|James|F|8961 Melissa Run Apt. 673|Russell|KS|67665|38.8806|-98.8595|5162|Patent attorney|1959-08-31|907693799652
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Lexington Park|MD|20653|38.2495|-76.4529|24481|Management consultant|1961-06-06|631805153549
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Albuquerque|NM|87113|35.1759|-106.6015|641349|Chemist, analytical|1939-04-06|583025110578
386-54-7433|345459910229014|Denise|Stanley|F|764 Kari Crescent Suite 614|Fort Wayne|IN|46806|41.048|-85.1135|305409|Therapist, horticultural|1934-04-27|577615689420
316-06-3613|6011034324451072|Paul|Thompson|M|388 Jones Wall Apt. 607|San Simon|AZ|85632|32.0423|-109.1748|835|Careers adviser|1986-09-12|347300118003
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Muleshoe|TX|79347|34.2193|-102.7496|7462|Clothing/textile technologist|1983-08-04|560624678846
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Stanley|NM|87056|35.1295|-106.0283|954|Management consultant|1953-08-06|79488406665
473-58-0617|584119986795|Julian|Conner|M|9359 Mason Circle|New Haven|IN|46774|41.0699|-85.0117|16008|Production designer, theatre/television/film|1999-07-24|889502767451
732-11-8267|4037788925546656|Meghan|Williams|F|51864 Cummings Shoals Apt. 519|Walhalla|SC|29691|34.8457|-83.0672|11333|Counsellor|1982-09-08|386189485379
672-90-6422|4486528168505423|Tiffany|Peterson|F|32214 William Plains Apt. 592|Hornbeck|LA|71439|31.3226|-93.3683|1897|Therapist, speech and language|1959-07-22|169121724065
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Everson|WA|98247|48.9045|-122.3325|9072|Associate Professor|1942-07-09|531034820387
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Claypool|IN|46510|41.1165|-85.8686|3631|Historic buildings inspector/conservation officer|1975-08-18|914473253283
713-18-7686|30010432898610|Ricardo|Young|M|36971 Mary Parks|Biloxi|MS|39532|30.511|-88.9681|60917|Therapist, speech and language|1982-01-28|19482202674
528-74-3964|3546095396218518|Tiffany|Stephens|F|7065 Burgess Knolls|Clinton|OH|44216|40.9391|-81.5871|9418|Broadcast journalist|1969-07-02|263473920508
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|W Hartford|CT|6117|41.79|-72.7457|64177|Engineer, aeronautical|1981-05-11|392070860877
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Central Islip|NY|11722|40.7866|-73.1961|35177|Product manager|1994-08-17|799045831074
630-56-4499|4165820297021358|Jack|Herring|M|275 Wallace Club|Southaven|MS|38671|34.9771|-89.9992|46961|Teacher, secondary school|1988-12-30|580411980930
408-41-4567|4027868144733|Whitney|Mitchell|F|12172 Osborn Valleys Suite 518|Honolulu|HI|96826|21.2941|-157.8284|403114|Special effects artist|1978-06-26|980499639968
872-21-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Lake City|MN|55041|44.4305|-92.2838|7601|Comptroller|1958-03-16|352068690122
076-58-7633|4289226801824223|Erica|Fletcher|F|414 Cynthia Plaza Suite 249|Cleveland|OH|44106|41.5084|-81.6076|769341|Social research officer, government|1991-11-08|550157085827
173-76-9514|4995900109439695|Margaret|Jimenez|F|473 Evans Cliffs Apt. 276|Westford|MA|1886|42.5864|-71.4401|21951|Radio broadcast assistant|1942-10-22|225333063288
622-19-5122|3556258815371477|David|Davis|M|9632 Peck Stravenue Suite 327|Santa Cruz|CA|95064|36.9959|-122.0578|97900|Scientist, biomedical|1975-07-29|547465802270
510-03-1476|6533950047974802|Ryan|Jordan|M|565 Richard Port Apt. 584|Bainbridge|GA|39817|30.9381|-84.5934|22176|Buyer, retail|1967-07-01|555710136742
783-71-4583|3521655852398689|Andrew|Williams|M|8729 Mark Ridge Suite 269|Rancho Cucamonga|CA|91739|34.1705|-117.5182|101719|Hydrographic surveyor|1985-04-28|371917215429
849-66-8722|30470551694093|Karen|Coffey|F|097 Alexandria Stravenue|Elk Grove Village|IL|60007|42.0076|-87.9931|33820|Water quality scientist|1949-04-05|926744876615
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|Battle Creek|MI|49015|42.3028|-85.2128|92270|Early years teacher|1969-12-07|375951918053
363-87-4332|3533484344375759|Justin|Michael|M|1986 Cardenas Trail Apt. 404|Radcliff|KY|40160|37.8267|-85.9404|23574|Careers information officer|1961-08-02|719159529356
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Springdale|AR|72764|36.1716|-94.0428|85572|IT sales professional|1990-09-21|709895453406
788-12-9407|4262067240046|Laura|Rodriguez|F|7887 Melissa Mountain Suite 315|Emporia|KS|66801|38.4184|-96.1871|28492|Designer, textile|1984-01-05|505651306822
264-92-3051|60454932967|Ronald|Robertson|M|1227 Boyle Avenue|Cleveland|OH|44106|41.5084|-81.6076|769341|Games developer|1974-01-21|259345477235
772-35-5401|4453017426841459337|Tina|Mendoza|F|956 Todd Unions Apt. 391|Goldsboro|NC|27530|35.3683|-78.0929|72075|Secondary school teacher|1967-03-14|581739352909
080-73-1839|676183982252|Sarah|Ramos|F|971 Stokes Motorway|West Cornwall|CT|6796|41.8689|-73.3313|1009|Consulting civil engineer|1963-04-23|457470916067
578-08-9156|30406403910659|Michael|Weaver|M|70462 Katie Stream|York Haven|PA|17370|40.1222|-76.7737|5683|Petroleum engineer|1958-07-17|420440076410
891-49-6155|2702512868230047|Julie|Ball|F|633 Reed Harbor Apt. 106|Fayetteville|NC|28311|35.1294|-78.8982|238602|Volunteer coordinator|1987-04-06|978753281962
247-27-1103|2720079030673833|Paul|Parsons|M|439 Ray Trail|Miccosukee Cpo|FL|32309|30.5146|-84.1884|30159|IT sales professional|1956-07-13|331729976873
677-67-3622|6540892687056857|Michael|Russell|M|2873 Kevin Station Apt. 708|Redwood City|CA|94063|37.4815|-122.2091|104429|Passenger transport manager|2002-11-15|459423143415
543-18-6364|4351751830467|Michael|Morrison|M|98373 Turner Bridge|Knoxville|IA|50138|41.3164|-93.0954|11720|Engineer, mining|1955-12-17|210183500752
765-97-7847|4638546785448|Heather|Andrade|F|75355 Williams Way Apt. 204|Hattiesburg|MS|39401|31.3146|-89.3065|82617|Surgeon|1955-12-28|643964883225
738-54-4837|4536937854777255|Caroline|Cortez|F|80801 Kathy Loop Apt. 312|Forks|WA|98331|47.9287|-124.3989|6261|Acupuncturist|1966-09-15|554990175020
383-08-7917|4008860084840868|Robert|Browning|M|82339 Ochoa Grove|Willamina|OR|97396|45.0826|-123.5047|3154|Occupational psychologist|1952-07-08|408361278207
471-73-3985|3541016668700210|Kathryn|Hamilton|F|180 Jason Ways Suite 401|Nashville|NC|27856|35.9843|-77.9595|17141|Health visitor|1965-10-24|600862968276
674-05-2939|343926142939687|Gary|Campos|M|185 Connor Fort|Los Angeles|CA|90007|34.0294|-118.2871|2383912|Call centre manager|1980-03-05|662887798281
610-51-5348|676347735869|Jeffrey|Frazier|M|94311 Moore Station Apt. 655|Phoenix|AZ|85016|33.5021|-112.0305|1312922|Clinical biochemist|2001-11-19|4688044575
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Little Rock|AR|72211|34.7413|-92.4222|214454|Museum/gallery conservator|1940-06-28|151051859836
309-35-8080|4264647154379938|Judith|Taylor|F|5965 Cook Via|Richmond|TX|77407|29.6625|-95.7272|97598|Therapist, music|1975-02-24|327002164659
618-89-3291|30526547935641|Rose|Long|F|398 Erin Plaza|Gurley|AL|35748|34.714|-86.394|6276|Aid worker|1954-11-29|802957040689
726-27-7184|4672434266179796888|Thomas|Kane|M|058 Daniel Gateway Suite 290|Concord|MA|1742|42.4567|-71.3747|17726|Surveyor, quantity|1965-09-15|712894168926
663-52-5433|6011014388899374|James|Ford|M|0714 Knapp Corner|Portage|MI|49024|42.1974|-85.6194|47338|Commercial art gallery manager|1964-01-19|157754796139
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Iowa City|IA|52240|41.6355|-91.5016|77509|Psychologist, counselling|1971-11-07|877169140360
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Woodside|NY|11377|40.745|-73.9069|89830|Secretary, company|1975-10-12|704228248578
612-50-6432|3555792499125131|Eric|White|M|669 Bailey Manors|West Bloomfield|MI|48322|42.5424|-83.3793|66323|Electronics engineer|1983-08-30|697874934613
711-83-2839|213174225790506|Kari|Lee|F|876 Perry Ville Suite 721|Beaumont|TX|77705|30.0211|-94.1157|142692|Systems analyst|1978-04-14|872010906800
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Tucson|AZ|85706|32.1392|-110.9451|865276|Firefighter|1982-07-03|959056357132
461-34-5712|2413395962923307|Laura|Patel|F|4494 Derek Terrace|San Antonio|TX|78245|29.4189|-98.6895|1595797|Paramedic|1950-02-04|68370591034
888-84-2079|3532536729466718|Mark|Beard|M|8457 Murphy Alley|Honesdale|PA|18431|41.5792|-75.2528|12666|Chief Financial Officer|1979-06-08|697753726506
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|De Soto|MO|63020|38.1204|-90.5546|20714|Phytotherapist|1987-08-06|999389892260
667-39-2605|4541520643611037125|Linda|Stone|F|05162 Jones Lights Apt. 115|Kennett Square|PA|19348|39.855|-75.7|22232|Mental health nurse|1966-06-27|330201333423
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Easton|PA|18042|40.6516|-75.224|83703|Health and safety inspector|1963-08-31|92962937500
567-77-9831|3504389836403768|Ashley|Porter|F|055 Paul Villages|Eagle Rock|NC|27523|35.7725|-78.9604|9552|Teacher, adult education|1976-06-11|401239553647
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Lewiston|ME|4240|44.0985|-70.1916|36592|Software engineer|1992-08-03|430900111440
650-98-1084|4303161799042102026|Jon|Reed|M|52410 Roman Groves Apt. 491|Marietta|OH|45750|39.4281|-81.4644|27785|Research scientist (maths)|1960-12-14|560300808050
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Baton Rouge|LA|70816|30.4273|-91.0356|378909|IT consultant|1967-04-02|907403143513
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|Renton|WA|98059|47.5058|-122.1157|141407|Accounting technician|1970-08-25|450681215698
239-70-5676|4506413836702411|Amanda|Hall|F|571 William Route Suite 199|Monroe|NC|28110|35.0178|-80.5372|76676|Biomedical engineer|1956-10-24|727717710246
243-38-4277|375574313291214|Carly|Owens|F|85374 Baker Crest Apt. 249|Chester|PA|19013|39.8498|-75.3747|35130|Architect|1993-06-12|915751541289
152-12-4067|378044206788319|Joel|Lara|M|00323 Watson Roads|Chicago|IL|60641|41.9453|-87.7474|2680484|Chartered accountant|1981-02-25|646746156066
833-10-0358|2237215107029667|Kathleen|Reyes|F|53244 Stephenson Bypass Apt. 476|San Mateo|CA|94401|37.5735|-122.3225|131801|Statistician|1994-10-21|66481931623
287-50-2249|6011838065787597|Jonathan|Price|M|59304 Lindsey Mountains|Broxton|GA|31519|31.6484|-82.905|3569|Senior tax professional/tax inspector|1933-12-26|843348752593
239-21-1641|4480396522393|Evan|Rojas|M|059 Anna Field Suite 842|West Palm Beach|FL|33415|26.656|-80.126|459921|Recycling officer|1998-11-14|98947300855
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|Elizabeth|NJ|7202|40.6565|-74.2215|124967|Immigration officer|1978-11-29|147414458291
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Jackson|MI|49203|42.229|-84.4132|104131|Learning disability nurse|1995-05-11|84805603866
356-41-2751|4570433154100676|Morgan|Costa|F|6586 Maria Turnpike Apt. 271|Bloomfield|NY|14469|42.8851|-77.46|6220|Analytical chemist|1980-02-05|22741459331
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|Grand Prairie|TX|75052|32.6605|-97.0311|174375|Field seismologist|1982-11-04|51951563323
586-71-8044|4506149731032419|Kara|Wilson|F|7418 Lopez Light Suite 270|Pharr|TX|78577|26.1771|-98.187|70840|General practice doctor|1973-05-14|512989778945
232-35-9245|503811586935|Kristen|Randall|F|793 Evans Locks Apt. 898|Clearwater|FL|33762|27.8942|-82.6746|172247|Teacher, music|1945-12-17|161577842715
776-58-2833|4320616329451163|Kristie|Arnold|F|709 Rodriguez Drive Apt. 999|Charlotte|NC|28277|35.0552|-80.8195|790689|Chiropodist|1960-02-03|119936653222
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Prairie|MS|39756|33.7836|-88.6642|1943|Regulatory affairs officer|1951-02-22|768190268997
890-30-2202|4546913736785082143|Michael|Powell|M|33030 Williams Lake|New Windsor|NY|12553|41.4724|-74.0566|24438|Engineer, civil (contracting)|1949-05-05|404903650217
518-51-2030|4357972798552411|Dominique|Hughes|F|333 Joseph Lodge|Hallandale|FL|33009|25.985|-80.1407|39341|Scientific laboratory technician|1951-10-18|949273896633
010-61-2168|4903494466574378|Elizabeth|Meyer|F|108 Hoffman Ranch Suite 417|Burke|VA|22015|38.7894|-77.2818|43102|Bonds trader|1978-03-19|701267155766
883-36-4279|4328309652074461|Jennifer|Doyle|F|3875 Bruce Ville|Mesick|MI|49668|44.4075|-85.7061|3625|Surveyor, insurance|1975-01-23|322900519786
483-17-4238|3551353465549475|Sarah|Ruiz|F|3816 Gutierrez Ways|Keyser|WV|26726|39.4527|-78.8926|13306|Dentist|1975-04-27|374522422066
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|Alexandria|VA|22314|38.806|-77.0529|321490|Social research officer, government|2001-12-03|804015362037
015-42-8701|4033542168940|Carol|Colon|F|7898 Hamilton Spur Apt. 575|Laredo|TX|78040|27.5155|-99.4986|248858|Emergency planning/management officer|1985-09-10|445869180665
234-29-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Rutherford|NJ|7070|40.8292|-74.1121|18061|Sports development officer|1951-08-25|520776545528
211-89-0153|4184992618914117392|Christina|Baker|F|6420 Lozano Spurs|Livermore|CA|94551|37.7526|-121.77|83763|Quarry manager|1976-03-17|259117969489
014-86-1459|2717218114374471|Anthony|Li|M|5561 Melissa Cape|Chandler|AZ|85226|33.3092|-111.9198|255641|Acupuncturist|1955-02-04|153983162030
663-22-5385|379415521667462|Michael|Mendoza|M|212 Tina Vista Apt. 169|Easley|SC|29642|34.7901|-82.5937|60135|Radiation protection practitioner|1988-07-27|626215958920
449-24-6222|342771670145088|Randall|Ray|M|588 Ryan Stream|Lawrenceville|GA|30046|33.9496|-83.9942|228867|Fish farm manager|1951-01-30|380026994241
693-83-6306|4028772175354087|Courtney|Schneider|F|17797 Melissa Mission Suite 170|Pasadena|TX|77502|29.6789|-95.1982|145975|Civil engineer, contracting|1995-08-01|452704326218
571-71-0003|2720948837550370|Gary|Saunders|M|571 Katherine Forges Apt. 554|Los Angeles|CA|90036|34.0699|-118.3492|2383912|Sports development officer|1966-03-21|410263801993
047-22-8068|4149331637351605|Tammy|Monroe|F|7982 Smith Street|North Olmsted|OH|44070|41.4201|-81.9131|32902|Art therapist|1945-08-14|920981907761
495-66-2904|3521699586693460|Victor|Waller|M|26984 Joseph Plaza Apt. 339|Milwaukee|WI|53223|43.1624|-87.9898|817312|Horticultural therapist|1963-11-28|380906095118
136-91-2914|180015879968469|Robert|Mills|M|2003 Christensen Estates|Dry Ridge|KY|41035|38.7049|-84.6237|10785|Historic buildings inspector/conservation officer|1962-11-16|277813046063
860-08-4836|4571983863842|Michael|Williams|M|6580 Julia Flats Suite 359|Buffalo|NY|14215|42.9335|-78.8115|564824|Sports coach|1941-12-24|664596582306
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Charlotte|NC|28205|35.22|-80.7881|790689|Statistician|1996-09-07|78847377226
539-29-3013|213182688615334|Mary|Rivera|F|98780 Elizabeth Mission Apt. 993|Fremont|CA|94536|37.5605|-121.9999|214112|Archaeologist|2000-10-25|973594144668
391-15-6323|4085887704358112888|Adam|Jones|M|613 Lucas Cliffs|Alturas|CA|96101|41.4767|-120.5456|5490|Designer, exhibition/display|1963-12-02|502613191745
039-12-1201|503848193465|Jasmine|Mccoy|F|0618 Darlene River Apt. 901|Farmington|MI|48336|42.4656|-83.3638|87927|Materials engineer|1981-04-15|553741748619
297-88-4938|3547660728326849|Tyler|Thomas|M|88210 Ashley Lock Apt. 435|Yuba City|CA|95993|39.1237|-121.6611|76660|Engineer, mining|1964-08-12|993909782929
872-66-2334|4394312908781417|David|Gonzalez|M|5231 Harvey Fields Suite 775|Bullhead City|AZ|86442|35.106|-114.5947|40544|Warehouse manager|1993-12-23|337839646089
157-73-9288|376205336452579|Joel|Howard|M|8129 Meagan Walks Apt. 834|Sugar Land|TX|77479|29.5785|-95.6066|149159|Camera operator|1959-11-16|84728646799
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Concord|NC|28027|35.4141|-80.6162|104595|Counselling psychologist|1963-08-19|173715194068
580-73-2396|3550373145303854|Jasmine|Hardin|F|51844 Nicholas Lane|Huntington Park|CA|90255|33.9769|-118.2161|75066|Medical secretary|1979-02-04|719783599768
530-33-6166|4557790827237|Angela|Schneider|F|22591 Robert Isle|Watertown|NY|13601|43.9743|-75.9122|47918|Clothing/textile technologist|1969-08-25|740802473168
491-27-9680|4030299228092023|David|White|M|904 Jay Rest Suite 723|Miami|FL|33161|25.8934|-80.1758|1737737|Paediatric nurse|1962-04-16|157199405309
841-99-2980|3525799136621031|Kelly|Blankenship|F|91279 Natalie Place Apt. 172|San Diego|CA|92129|32.9652|-117.1213|1241364|Toxicologist|1958-10-28|908554315130
794-87-7070|180050863765993|Brent|Anderson|M|14986 Lopez Station Apt. 981|San Jose|CA|95124|37.2563|-121.9229|973849|Scientist, product/process development|1994-01-15|412347758641
211-89-5176|6512694486959461|Nicole|Gutierrez|F|58874 Lane Trail Suite 213|Arverne|NY|11692|40.5923|-73.7933|18540|Product manager|1961-04-09|772162574642
103-28-8329|6589026012796117|Dennis|Wood|M|669 Dawson Ranch|Hopwood|PA|15445|39.8728|-79.6568|2693|Barista|1979-07-03|854465343288
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|San Antonio|TX|78259|29.6283|-98.4445|1595797|Nutritional therapist|1944-12-18|645986493050
531-02-1125|2704895543937690|Aaron|Thompson|M|184 Arroyo Unions|Cannelton|IN|47520|37.9495|-86.7156|3267|Scientific laboratory technician|1985-10-25|283281909609
833-74-4099|3569735779071412|James|Kramer|M|356 Black Branch|Frisco|TX|75034|33.1499|-96.8241|120276|General practice doctor|1986-04-20|314598870934
409-87-5604|2702755394237339|Nicolas|Salas|M|33952 David Common|Annapolis|MD|21403|38.9524|-76.491|92106|Research officer, government|1942-03-01|6931334095
044-62-6082|3579472846392088|Rebecca|Mendoza|F|562 Bray Square|Carson City|NV|89701|39.1507|-119.7459|61818|Scientist, marine|1967-06-04|345573371830
013-87-3453|6011559428434798|Grace|White|F|65564 White Curve Apt. 143|Cartersville|GA|30120|34.187|-84.8204|60163|Surveyor, building control|1983-04-14|942454203201
201-19-2451|30026728857441|Justin|Bradley|M|20347 Shannon Isle Suite 558|Newark|NJ|7108|40.7236|-74.2015|277237|Surveyor, hydrographic|1981-12-16|893060472234
353-03-6747|2289399824558773|Steve|James|M|2256 Sweeney Cliffs Apt. 253|East China|MI|48054|42.7769|-82.5437|7339|Interior and spatial designer|1964-10-07|718620520120
728-35-9919|4475987622023410|Daniel|Sanders|M|78006 Dalton River|Beaumont|TX|77703|30.1132|-94.1197|142692|Designer, furniture|1981-11-29|717621652546
317-30-4054|3572282005577842|Joshua|Taylor|M|979 Mills Route|Wichita|KS|67211|37.6662|-97.3165|409656|Social research officer, government|1953-04-06|997762397943
494-70-3722|2445642400825475|Joseph|Watts|M|4064 Laura Plaza Suite 368|San Antonio|TX|78250|29.5054|-98.6688|1595797|Press sub|1995-10-24|272278386916
733-95-6386|6011416389448467|Cole|Jones|M|1797 Graves Overpass|Holton|IN|47023|39.0498|-85.3739|1636|Emergency planning/management officer|1983-07-22|18557023491
051-69-0363|4442703120735649|Rachel|Jimenez|F|0512 Joseph Lock Apt. 872|Virginia Beach|VA|23451|36.8585|-76.0019|437994|Engineer, agricultural|1961-03-05|927264966457
837-49-0207|2246730371837644|Taylor|Moore|F|881 Olson Hills|Cross Plains|TN|37049|36.5531|-86.6761|3244|Engineer, civil (contracting)|1971-07-04|976505596881
885-86-3569|2246502491630096|Rachel|Alvarez|F|1327 Gina Junction|Salt Lake City|UT|84119|40.7016|-111.9461|594043|Best boy|1974-10-09|391098756160
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|Andrews|SC|29510|33.4525|-79.5604|11060|Designer, multimedia|1982-12-06|580116407639
